"isrc","ranking_date","rank","ranking_source"
"USHM92438095","2025-01-03","8","Spotify"
"USUG12400968","2025-01-03","9","Spotify"
"USUG12406536","2025-01-03","10","Spotify"
"USAT22409172","2025-01-03","1","Apple Music"
"USUM72409273","2025-01-03","2","Apple Music"
"USUG12408496","2025-01-03","3","Apple Music"
"USUM72401994","2025-01-03","4","Apple Music"
"USRC12403853","2025-01-03","5","Apple Music"
"USUG12408922","2025-01-03","6","Apple Music"
"USUG12406903","2025-01-03","7","Apple Music"
"USUG12408493","2025-01-03","8","Apple Music"
"USUM72403305","2025-01-03","9","Apple Music"
"USUYG1541249","2025-01-03","10","Apple Music"
"USUM72409273","2025-01-04","1","Spotify"
"USAT22409172","2025-01-04","2","Spotify"
"USUM72401994","2025-01-04","3","Spotify"
"USUG12406903","2025-01-04","4","Spotify"
"USA2P2431062","2025-01-04","5","Spotify"
"USUM72403305","2025-01-04","6","Spotify"
"USUG12408496","2025-01-04","7","Spotify"
"USHM92438095","2025-01-04","8","Spotify"
"USUG12406536","2025-01-04","9","Spotify"
"USUG12401967","2025-01-04","10","Spotify"
"USAT22409172","2025-01-04","1","Apple Music"
"USUM72409273","2025-01-04","2","Apple Music"
"USUG12408496","2025-01-04","3","Apple Music"
"USUM72401994","2025-01-04","4","Apple Music"
"USUG12408922","2025-01-04","5","Apple Music"
"USRC12403853","2025-01-04","6","Apple Music"
"USUG12406903","2025-01-04","7","Apple Music"
"USUG12408493","2025-01-04","8","Apple Music"
"USUM72403305","2025-01-04","9","Apple Music"
"USUG12406536","2025-01-04","10","Apple Music"
"USUM72409273","2025-01-05","1","Spotify"
"USAT22409172","2025-01-05","2","Spotify"
"USUM72401994","2025-01-05","3","Spotify"
"USUG12406903","2025-01-05","4","Spotify"
"USA2P2431062","2025-01-05","5","Spotify"
"USUM72403305","2025-01-05","6","Spotify"
"USUG12408496","2025-01-05","7","Spotify"
"USHM92438095","2025-01-05","8","Spotify"
"USUG12406536","2025-01-05","9","Spotify"
"GBUM72401610","2025-01-05","10","Spotify"
"USUG12500001","2025-01-05","1","Apple Music"
"USAT22409172","2025-01-05","2","Apple Music"
"USUM72409273","2025-01-05","3","Apple Music"
"USUG12408496","2025-01-05","4","Apple Music"
"USUM72401994","2025-01-05","5","Apple Music"
"USUG12408922","2025-01-05","6","Apple Music"
"USUG12500019","2025-01-05","7","Apple Music"
"USUG12500004","2025-01-05","8","Apple Music"
"USRC12403853","2025-01-05","9","Apple Music"
"USUG12500010","2025-01-05","10","Apple Music"
"USUM72409273","2025-01-06","1","Spotify"
"USAT22409172","2025-01-06","2","Spotify"
"USUG12406903","2025-01-06","3","Spotify"
"USUM72401994","2025-01-06","4","Spotify"
"USA2P2431062","2025-01-06","5","Spotify"
"USUM72403305","2025-01-06","6","Spotify"
"USUG12408496","2025-01-06","7","Spotify"
"USHM92438095","2025-01-06","8","Spotify"
"USUG12406536","2025-01-06","9","Spotify"
"GBUM72401610","2025-01-06","10","Spotify"
"USUG12500001","2025-01-06","1","Apple Music"
"USAT22409172","2025-01-06","2","Apple Music"
"USUM72409273","2025-01-06","3","Apple Music"
"USUG12408496","2025-01-06","4","Apple Music"
"USUM72401994","2025-01-06","5","Apple Music"
"USUG12408922","2025-01-06","6","Apple Music"
"USRC12403853","2025-01-06","7","Apple Music"
"USUG12500010","2025-01-06","8","Apple Music"
"USUG12500019","2025-01-06","9","Apple Music"
"USUG12500004","2025-01-06","10","Apple Music"
"USUM72409273","2025-01-07","1","Spotify"
"USAT22409172","2025-01-07","2","Spotify"
"USUM72401994","2025-01-07","3","Spotify"
"USUG12406903","2025-01-07","4","Spotify"
"USA2P2431062","2025-01-07","5","Spotify"
"USUG12408496","2025-01-07","6","Spotify"
"USUM72403305","2025-01-07","7","Spotify"
"USHM92438095","2025-01-07","8","Spotify"
"USUG12406536","2025-01-07","9","Spotify"
"GBUM72401610","2025-01-07","10","Spotify"
"USAT22409172","2025-01-07","1","Apple Music"
"USUG12500001","2025-01-07","2","Apple Music"
"USUM72409273","2025-01-07","3","Apple Music"
"USUG12408496","2025-01-07","4","Apple Music"
"USUM72401994","2025-01-07","5","Apple Music"
"USRC12403853","2025-01-07","6","Apple Music"
"USUG12408922","2025-01-07","7","Apple Music"
"USUG12406903","2025-01-07","8","Apple Music"
"USUG12500010","2025-01-07","9","Apple Music"
"JPPO02401026","2025-01-07","10","Apple Music"
"USUM72409273","2025-01-08","1","Spotify"
"USAT22409172","2025-01-08","2","Spotify"
"USUG12406903","2025-01-08","3","Spotify"
"USUM72401994","2025-01-08","4","Spotify"
"QMFMF2447057","2025-01-08","5","Spotify"
"QMFMF2447055","2025-01-08","6","Spotify"
"QMFMF2447056","2025-01-08","7","Spotify"
"QMFMF2447060","2025-01-08","8","Spotify"
"USA2P2431062","2025-01-08","9","Spotify"
"QMFME2462255","2025-01-08","10","Spotify"
"USAT22409172","2025-01-08","1","Apple Music"
"USUM72409273","2025-01-08","2","Apple Music"
"USUG12500001","2025-01-08","3","Apple Music"
"QMFMF2447055","2025-01-08","4","Apple Music"
"USUG12408496","2025-01-08","5","Apple Music"
"QMFMF2447057","2025-01-08","6","Apple Music"
"USUM72401994","2025-01-08","7","Apple Music"
"QMFMF2447056","2025-01-08","8","Apple Music"
"USRC12403853","2025-01-08","9","Apple Music"
"QMFMF2447060","2025-01-08","10","Apple Music"
"USUM72409273","2025-01-09","1","Spotify"
"USAT22409172","2025-01-09","2","Spotify"
"USUG12406903","2025-01-09","3","Spotify"
"USUM72401994","2025-01-09","4","Spotify"
"QMFMF2447055","2025-01-09","5","Spotify"
"QMFMF2447057","2025-01-09","6","Spotify"
"QMFMF2447056","2025-01-09","7","Spotify"
"QMFMF2447060","2025-01-09","8","Spotify"
"QMFMF2447070","2025-01-09","9","Spotify"
"USUG12408496","2025-01-09","10","Spotify"
"USAT22409172","2025-01-09","1","Apple Music"
"USUM72409273","2025-01-09","2","Apple Music"
"USUM72401994","2025-01-09","3","Apple Music"
"USUG12408496","2025-01-09","4","Apple Music"
"QMFMF2447057","2025-01-09","5","Apple Music"
"QMFMF2447055","2025-01-09","6","Apple Music"
"USUG12500001","2025-01-09","7","Apple Music"
"QMFMF2447056","2025-01-09","8","Apple Music"
"USRC12403853","2025-01-09","9","Apple Music"
"QMFMF2447060","2025-01-09","10","Apple Music"
